Red: 7, Green: 18, Blue: 6 - INVALID
Red: 11, Green: 12, Blue: 1 - VALID
Red: 16, Green: 2, Blue: 14 - INVALID
Red: 8, Green: 4, Blue: 9 - VALID
Red: 4, Green: 13, Blue: 13 - VALID
Red: 3, Green: 6, Blue: 13 - VALID
Red: 2, Green: 8, Blue: 9 - VALID
Red: 7, Green: 11, Blue: 7 - VALID
Red: 7, Green: 1, Blue: 8 - VALID
Red: 6, Green: 6, Blue: 7 - VALID
Red: 3, Green: 8, Blue: 6 - VALID
Red: 6, Green: 10, Blue: 7 - VALID
Red: 2, Green: 16, Blue: 9 - INVALID
Red: 6, Green: 12, Blue: 11 - VALID
Red: 8, Green: 2, Blue: 10 - VALID
Red: 4, Green: 7, Blue: 16 - INVALID
Red: 2, Green: 4, Blue: 6 - VALID
Red: 11, Green: 12, Blue: 9 - VALID
Red: 18, Green: 10, Blue: 14 - INVALID
Red: 11, Green: 15, Blue: 3 - INVALID
Red: 6, Green: 16, Blue: 13 - INVALID
Red: 1, Green: 1, Blue: 16 - INVALID
Red: 10, Green: 20, Blue: 6 - INVALID
Red: 8, Green: 11, Blue: 13 - VALID
Red: 9, Green: 9, Blue: 10 - VALID
Red: 15, Green: 5, Blue: 9 - INVALID
Red: 9, Green: 5, Blue: 1 - VALID
Red: 16, Green: 19, Blue: 8 - INVALID
Red: 17, Green: 4, Blue: 15 - INVALID
Red: 4, Green: 2, Blue: 2 - VALID
Red: 8, Green: 3, Blue: 8 - VALID
Red: 15, Green: 12, Blue: 4 - INVALID
Red: 5, Green: 9, Blue: 8 - VALID
Red: 3, Green: 12, Blue: 12 - VALID
Red: 2, Green: 8, Blue: 4 - VALID
Red: 4, Green: 9, Blue: 18 - INVALID
Red: 10, Green: 4, Blue: 10 - VALID
Red: 9, Green: 6, Blue: 6 - VALID
Red: 9, Green: 3, Blue: 9 - VALID
Red: 13, Green: 8, Blue: 2 - INVALID
Red: 10, Green: 10, Blue: 17 - INVALID
Red: 9, Green: 2, Blue: 9 - VALID
Red: 16, Green: 7, Blue: 7 - INVALID
Red: 8, Green: 1, Blue: 9 - VALID
Red: 17, Green: 2, Blue: 14 - INVALID
Red: 10, Green: 7, Blue: 4 - VALID
Red: 16, Green: 4, Blue: 15 - INVALID
Red: 9, Green: 10, Blue: 1 - VALID
Red: 18, Green: 18, Blue: 9 - INVALID
Red: 10, Green: 7, Blue: 6 - VALID
Red: 14, Green: 10, Blue: 3 - INVALID
Red: 1, Green: 8, Blue: 7 - VALID
Red: 16, Green: 9, Blue: 3 - INVALID
Red: 10, Green: 1, Blue: 6 - VALID
Red: 18, Green: 4, Blue: 5 - INVALID
Red: 2, Green: 12, Blue: 18 - INVALID
Red: 12, Green: 4, Blue: 4 - VALID
Red: 11, Green: 17, Blue: 2 - INVALID
Red: 1, Green: 16, Blue: 6 - INVALID
Red: 2, Green: 17, Blue: 11 - INVALID
Red: 12, Green: 10, Blue: 16 - INVALID
Red: 10, Green: 1, Blue: 15 - INVALID
Red: 2, Green: 9, Blue: 4 - VALID
Red: 13, Green: 10, Blue: 2 - INVALID
Red: 7, Green: 8, Blue: 6 - VALID
Red: 11, Green: 17, Blue: 3 - INVALID
Red: 2, Green: 4, Blue: 12 - VALID
Red: 16, Green: 16, Blue: 16 - INVALID
Red: 10, Green: 18, Blue: 9 - INVALID
Red: 6, Green: 3, Blue: 12 - VALID
Red: 6, Green: 6, Blue: 11 - VALID
Red: 5, Green: 11, Blue: 9 - VALID
Red: 13, Green: 1, Blue: 9 - INVALID
Red: 19, Green: 6, Blue: 3 - INVALID
Red: 4, Green: 9, Blue: 18 - INVALID
Red: 13, Green: 14, Blue: 10 - INVALID
Red: 3, Green: 2, Blue: 6 - VALID
Red: 13, Green: 15, Blue: 9 - INVALID
Red: 6, Green: 12, Blue: 7 - VALID
Red: 7, Green: 18, Blue: 5 - INVALID
Red: 10, Green: 7, Blue: 18 - INVALID
Red: 2, Green: 14, Blue: 2 - INVALID
Red: 12, Green: 7, Blue: 13 - VALID
Red: 2, Green: 8, Blue: 5 - VALID
Red: 13, Green: 11, Blue: 1 - INVALID
Red: 10, Green: 2, Blue: 2 - VALID
Red: 13, Green: 16, Blue: 16 - INVALID
Red: 17, Green: 14, Blue: 4 - INVALID
Red: 13, Green: 7, Blue: 7 - INVALID
Red: 19, Green: 7, Blue: 18 - INVALID
Red: 14, Green: 2, Blue: 3 - INVALID
Red: 16, Green: 3, Blue: 15 - INVALID
Red: 3, Green: 12, Blue: 7 - VALID
Red: 7, Green: 10, Blue: 10 - VALID
Red: 16, Green: 13, Blue: 3 - INVALID
Red: 19, Green: 8, Blue: 15 - INVALID
Red: 5, Green: 12, Blue: 4 - VALID
Red: 9, Green: 7, Blue: 11 - VALID
Red: 3, Green: 11, Blue: 18 - INVALID
Red: 15, Green: 5, Blue: 1 - INVALID
2083
